1 3Lz+2T 7.3 -0.20 0 0 1 0 0 0 0 -1 0 0 -1 0 0 7.10
2 3F 5.5 0.60 0 1 1 0 1 1 0 0 1 0 1 2 0 6.10
3 2A 3.3 1.00 1 1 1 1 1 0 1 1 1 1 1 0 0 4.30
4 FCSp2 2.3 0.60 1 1 2 1 1 1 2 1 1 2 1 0 0 2.90
5 SlSt2 3.1 0.50 1 1 1 0 1 0 1 1 1 1 1 0 0 3.60
6 LSp2 1.6 0.70 1 1 2 1 2 1 1 3 1 1 2 0 0 2.30
7 SpSt3 3.4 1.20 1 1 1 1 2 1 1 2 1 2 1 0 0 4.60
8 CCoSp2 3.0 0.60 1 1 2 1 2 2 2 2 1 1 1 0 0 3.60
1 3Lz 6.0 0.80 1 1 1 0 1 1 1 1 1 1 0 0 0 6.80
2 3S+2Lo+2T 7.3 0 0 0 0 0 0 1 0 0 1 0 0 0 0 7.30
3 3Lo 4.80 -0.20 -1 0 0 0 0 0 -1 -1 0 0 -1 0 0 4.80
4 FCSp2 2.80 0.50 1 1 1 1 1 1 1 2 1 2 1 0 0 2.80
5 2Lz 1.9 -0.42 -1 -1 -2 -1 -1 -2 -2 -1 -2 -2 -2 0 0 1.48
6 LSp2 1.6 0.60 1 1 2 1 2 1 2 2 1 2 1 0 0 2.20
7 SpSt3 3.4 0.60 0 1 1 1 1 1 0 1 0 2 0 0 0 4.00
8 3F 6.1 -0.80 -1 -1 -1 0 0 -1 -1 -1 -1 -1 -1 0 0 5.30
9 3T+2T 5.8 x 0.40 0 0 0 0 0 1 0 0 1 1 1 0 0 6.20
10 CoSp3 3.0 0.20 0 1 0 0 1 1 1 1 0 2 0 0 0 3.20
11 2A 3.6 x -0.28 -1 0 -1 0 0 0 0 0 -1 -1 0 0 0 3.32
12 SlSt2 3.1 0.10 0 2 1 0 1 0 1 0 0 0 0 0 0 3.20
13 CCoSp2 3.0 0.70 1 3 1 1 2 2 2 2 1 2 1 0 0 3.70
